LookupString,Latitude,Longitude,GeoName
"Oaxaca, Huilotepec, Mexico",16.243889,-95.15,"San Pedro Huilotepec, Oaxaca, México"
"Huehuetenango, Quen Santo, Guatemala",0,0,
"Western Mexico, Mexico",34.0599968,-106.902616,"Western, Western Hills, Florida, Socorro, Socorro County, New Mexico, 87801, United States of America"
"Conteros On Edge Of Pedregal, Mexico",0,0,
"Chiapas, Chocolja, Mexico",17.2709313,-91.7350685,"Chocolja, Palenque, Chiapas, México"
"Coyotepec, Mexico",18.39581975,-97.8331099037162,"Coyotepec, Puebla, México"
"Chiapas, Palace Of Palenque, Mexico",0,0,
"Highlands Of Costa Rica, La Concepcion, Costa Rica",0,0,
"Sinaloa, San Blas, Mexico",21.5425188,-105.2841721,"Sinaloa, Matanchen, San Blas, Nayarit, 63774, México"
"Oaxaca, Miahuatlan, San Jose Lachiguiri, Mexico",0,0,
"San Isidro, General Valley, Costa Rica",10.02995065,-84.03207521651726,"Cantón San Isidro, Provincia Heredia, Costa Rica"
"Veracruz, Tuzapan, Mexico",0,0,
"San Luis Potosi, Mexico",22.5000001,-100.5000001,"San Luis Potosí, México"
"Oaxaca, Ejutla, Mexico",16.565554,-96.7300282,"Ejutla, Heroica Ciudad de Ejutla de Crespo, Oaxaca, 71500, México"
"Jalisco, Rancho Zapote, Mexico",0,0,
"Chiapas, Ocozuqu, Mexico",0,0,
"Chiapas, Mexico",16.5000001,-92.5000001,"Chiapas, México"
"Toluca Valley, Metepec, Mexico",19.242998,-99.5499367,"Toluca, San Salvador Tizatlalli, San Gaspar Tlahuelilpan, Metepec, Estado de México, 52145, México"
"Chihuahua, Pueblo Panalachic, Mexico",0,0,
"Kruta River, Honduras",15.1011153,-83.553164,"Río Kruta, Ramón Villeda Morales, Gracias a Dios, Honduras"
"Ustuppu Island, Panama",0,0,
"Sonora, Mexico",29.3333331,-110.6666671,"Sonora, México"
"Terraba, Costa Rica",9.0675346,-83.2861288,"Térraba, Potrero Grande, Cantón Buenos Aires, Provincia Puntarenas, 60303, Costa Rica"
"Tamaulipas, Tampico, Mexico",22.2195209,-97.8585296,"Tamaulipas, Tampico, Tamaulipas, 89080, México"
"Sonora, San Jose, Mexico",16.736602,-92.6527696,"Sonora, Alcanfores, San Cristóbal, San Cristóbal de las Casas, Chiapas, 29200, México"
"Lake Yajoa, Las Ventanas Island, One Mile North At Site On Mainland, Honduras",0,0,
