Id,Acquisition Year,Acquisition Type,Latitude,Longitude,Country,Locale
30 / 119 A02,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 119 A03,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 119 A04,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 120 A01,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 120 A02,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 120 A03,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 120 A04,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 120 A05,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 120 A06,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Xoxocotlán"
30 / 121,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Monte Alban"
30 / 122,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Etla"
30 / 123,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Etla"
30 / 124,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Etla"
30 / 125,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 126,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 127,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 128,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 129,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Huitzo"
30 / 130,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Huitzo"
30 / 131,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Huitzo"
30 / 132,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Huitzo"
30 / 134,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Ejutla"
30 / 135,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, San Lozaro"
30 / 136,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, San Lozaro"
30 / 137,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Zaachila"
30 / 138,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Cuicatlan"
30 / 139,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Tapala"
30 / 140,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Cuicatlan"
30 / 141,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Cuicatlan"
30 / 142,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Tlapiltepec"
30 / 143,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Tlapiltepec"
30 / 144,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Tlapiltepec"
30 / 145,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Copala"
30 / 146,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Copala"
30 / 147,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Copala"
30 / 148,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Cuilapa"
30 / 149,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Cuilapa"
30 / 150,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Cuilapa"
30 / 151,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Cuilapa"
30 / 152,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Tonala"
30 / 153,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Nochistlán"
30 / 154,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Tlapiltepec"
30 / 155,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Nochistlán"
30 / 156,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Nochistlán"
30 / 157,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Nochistlán"
30 / 158,1896,Gift,23.634501,-102.552784,Mexico,"Oaxaca, Nochistlán"
